Ind,Pop,phi024,phi024,phi053,phi053,umc1147,umc1147,bnlg1017,bnlg1017,phi072,phi072,umc1304,umc1304,bnlg1621,bnlg1621,phi096,phi096
Cha01,Chalqueno,126,126,164,164,96,96,186,186,220,220,134,134,166,166,90,90
Cha02,Chalqueno,126,120,160,164,96,96,186,180,0,0,140,138,166,166,94,94
Cha03,Chalqueno,122,126,164,160,98,96,186,180,220,220,140,138,168,166,94,90
Cha04,Chalqueno,124,122,164,154,98,102,186,180,220,216,134,142,166,166,92,90
Cha05,Chalqueno,122,122,158,158,100,100,186,186,220,216,138,142,172,166,94,90
Cha06,Chalqueno,126,126,152,152,96,98,186,186,222,220,136,136,166,166,90,94
Cha07,Chalqueno,118,126,164,164,102,100,182,186,210,210,142,142,166,168,90,94
Cha08,Chalqueno,0,0,162,156,100,96,186,186,224,216,136,136,168,168,94,94
Cha09,Chalqueno,120,126,156,156,98,96,186,186,222,210,140,142,172,170,94,94
Cha10,Chalqueno,126,118,162,164,96,96,186,188,216,216,138,138,168,168,94,94
Cha11,Chalqueno,120,120,160,154,102,102,186,186,210,210,138,138,176,168,88,92
Cha12,Chalqueno,126,122,164,164,96,96,186,186,220,216,0,0,168,176,88,94
Cha13,Chalqueno,122,126,160,160,96,98,188,186,220,216,0,0,166,168,92,90
Cha14,Chalqueno,122,120,160,160,96,96,186,186,210,222,138,138,166,166,94,88
Cha15,Chalqueno,126,126,162,156,96,96,186,186,220,216,138,138,176,166,94,94
Cha16,Chalqueno,118,118,154,154,100,100,186,186,212,224,136,136,0,0,94,94
Cha17,Chalqueno,126,122,164,156,98,96,186,186,220,220,138,138,166,168,90,90
Cha18,Chalqueno,126,126,156,154,98,96,184,186,220,220,140,142,176,176,94,94
Cha19,Chalqueno,126,126,154,154,96,100,182,182,216,210,0,0,168,176,92,94
Cha20,Chalqueno,126,122,162,160,100,100,186,190,212,210,142,138,166,166,94,90
Cha21,Chalqueno,120,118,164,154,100,100,182,186,220,216,136,136,172,168,90,94
Cha22,Chalqueno,124,126,0,0,98,96,184,186,214,210,136,136,176,176,94,94
Cha23,Chalqueno,122,124,0,0,98,100,186,186,210,216,142,136,168,172,90,88
Cha24,Chalqueno,122,122,156,154,96,96,188,186,222,220,138,138,176,176,90,94
Cha25,Chalqueno,122,126,160,156,100,98,186,186,212,210,138,136,170,170,94,90
Pal01,Palomero,122,122,164,164,96,100,180,180,220,212,138,138,168,166,90,94
Pal02,Palomero,126,118,158,160,96,96,0,0,216,220,136,138,166,176,88,94
Pal03,Palomero,122,120,154,160,96,96,182,182,216,216,136,138,0,0,94,88
Pal04,Palomero,122,126,160,160,98,96,186,180,210,216,140,140,168,170,88,94
Pal05,Palomero,122,122,154,164,98,98,186,190,220,210,138,142,166,176,88,94
Pal06,Palomero,120,120,160,162,96,96,184,188,216,218,136,138,170,168,88,90
Pal07,Palomero,126,126,152,156,98,96,184,186,214,224,136,138,176,176,90,88
Pal08,Palomero,120,120,156,160,98,96,188,186,220,220,140,138,166,168,92,92
Pal09,Palomero,120,120,162,156,96,96,184,188,210,216,134,138,166,166,94,94
Pal10,Palomero,120,118,160,162,100,98,190,180,216,212,138,138,166,176,88,92
Pal11,Palomero,124,120,162,154,100,96,180,180,224,212,140,136,168,172,88,90
Pal12,Palomero,122,122,164,156,96,96,188,188,220,220,138,136,0,0,88,92
Pal13,Palomero,122,124,162,164,96,102,180,180,216,212,136,142,170,176,88,90
Pal14,Palomero,124,122,164,160,96,96,184,182,210,216,134,140,176,176,94,90
Pal15,Palomero,122,122,156,152,100,96,180,180,220,210,136,138,166,168,88,88
Pal16,Palomero,0,0,160,160,98,96,184,180,210,210,136,140,168,172,90,90
Pal17,Palomero,122,122,158,158,96,98,180,182,220,220,142,142,168,170,94,88
Pal18,Palomero,122,124,152,164,96,96,188,186,224,214,134,134,170,168,88,94
Pal19,Palomero,122,122,160,160,96,98,184,180,216,220,138,140,168,168,90,94
Pal20,Palomero,120,122,154,156,98,98,188,186,216,210,136,138,176,168,90,88
Pal21,Palomero,120,122,160,160,98,96,180,182,212,212,138,140,170,170,88,94
Pal22,Palomero,122,120,162,154,98,98,186,182,216,210,138,138,170,170,90,90
Pal23,Palomero,126,122,164,164,98,98,190,186,216,216,138,142,170,166,90,90
Pal24,Palomero,122,122,160,160,96,96,186,182,220,220,138,140,174,172,90,92
Pal25,Palomero,126,120,152,160,0,0,186,190,216,216,136,136,168,176,94,94
